,ID,Urgency,Area,Titel,Event,Datum,Plz
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Stadt Freyung,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Fürsteneck,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,94142
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Wartenberg,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,36367
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Gemeinde Niederaichbach,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Hohenpolding,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,84432
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Kröning,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,84178
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Gemeinde Kumhausen,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Kirchberg,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,84434
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Witzmannsberg,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,94121
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Gemeinde Wegscheid,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Gemeinde Geisenhausen,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Gerzen,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,84175
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Gemeinde Windorf,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.2dd3cabf-9c61-4bde-9c3d-41c1d640b54d.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Tittling und 105 weitere.,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Nach bisher beobachteten Neuschneemengen um 15 cm tritt im Warnzeitraum weiterhin starker Schneefall mit Mengen nochmals zwischen 15 cm und 25 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Postau,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,84103
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Obersüßbach,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,84101
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Wang,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Zolling,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,85406
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Wolfersdorf,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Nandlstadt,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Langenpreising,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,85465
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Langenbach,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Kranzberg,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Kirchdorf a.d. Amper,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Stadt Moosburg a.d. Isar,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,85368
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Mauern,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,85419
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Marzling,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Furth,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,84095
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Haag a.d. Amper,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,85410
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Essenbach,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Hohenkammer,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Hörgertshausen,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,85413
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Fahrenzhausen,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
1,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.148bef68-7f4e-4edb-9571-59d95e3d21b0.MUL,Immediate,Gemeinde Eching und 106 weitere.,Amtliche WARNUNG vor SCHNEEFALL: Es tritt im Warnzeitraum Schneefall mit Mengen zwischen 20 cm und 30 cm auf. Verbreitet wird es glatt.,SCHNEEFALL,2023-12-01 21:32:00,
2,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.ee781ca9-423d-4908-8f1d-5fa3ccd353fb.MUL,Immediate,gemeindefreies Gebiet Rotter Forst-Nord,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Es tritt im Warnzeitraum starker Schneefall mit Mengen zwischen 30 cm und 40 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
2,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.ee781ca9-423d-4908-8f1d-5fa3ccd353fb.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Bichl,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Es tritt im Warnzeitraum starker Schneefall mit Mengen zwischen 30 cm und 40 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,83673
2,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.ee781ca9-423d-4908-8f1d-5fa3ccd353fb.MUL,Immediate,Mitgliedsgemeinde in Verwaltungsgemeinschaft Benediktbeuern,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Es tritt im Warnzeitraum starker Schneefall mit Mengen zwischen 30 cm und 40 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,83671
2,dwdmap.2.49.0.0.276.0.DWD.PVW.1701466320000.ee781ca9-423d-4908-8f1d-5fa3ccd353fb.MUL,Immediate,Gemeinde Pfronten,Amtliche UNWETTERWARNUNG vor STARKEM SCHNEEFALL: Es tritt im Warnzeitraum starker Schneefall mit Mengen zwischen 30 cm und 40 cm auf. Verbreitet wird es glatt.,STARKER SCHNEEFALL,2023-12-01 21:32:00,
